Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE
Lowest Temperature,08/1959,Birr,Degrees C,4.9
Lowest Temperature,08/1959,Valentia Observatory,Degrees C,7.3
Lowest Temperature,08/1959,Casement,Degrees C,0
Lowest Temperature,08/1959,Claremorris,Degrees C,5.6
Lowest Temperature,08/1959,Clones,Degrees C,5.1
Lowest Temperature,08/1959,Cork airport,Degrees C,0
Lowest Temperature,08/1959,Dublin airport,Degrees C,7.2
Lowest Temperature,08/1959,Galway,Degrees C,0
Lowest Temperature,08/1959,Kilkenny,Degrees C,2.9
Lowest Temperature,08/1959,Malin head,Degrees C,9.9
Lowest Temperature,08/1959,Mullingar,Degrees C,6.3
Lowest Temperature,08/1959,Roches Point,Degrees C,8.8
Lowest Temperature,08/1959,Rosslare,Degrees C,10
Lowest Temperature,08/1959,Shannon airport,Degrees C,6.9
Lowest Temperature,09/1959,Belmullet,Degrees C,7.2
Lowest Temperature,09/1959,Birr,Degrees C,3.9
Lowest Temperature,09/1959,Valentia Observatory,Degrees C,6.6
Lowest Temperature,09/1959,Casement,Degrees C,0
Lowest Temperature,09/1959,Claremorris,Degrees C,3.4
Lowest Temperature,09/1959,Clones,Degrees C,4
Lowest Temperature,09/1959,Cork airport,Degrees C,0
Lowest Temperature,09/1959,Dublin airport,Degrees C,5.5
Lowest Temperature,09/1959,Galway,Degrees C,0
Lowest Temperature,09/1959,Kilkenny,Degrees C,-1.2
Lowest Temperature,09/1959,Malin head,Degrees C,7.5
Lowest Temperature,09/1959,Mullingar,Degrees C,3.9
Lowest Temperature,09/1959,Roches Point,Degrees C,6.5
Lowest Temperature,09/1959,Rosslare,Degrees C,8.3
Lowest Temperature,09/1959,Shannon airport,Degrees C,5.7
Lowest Temperature,10/1959,Belmullet,Degrees C,5.1
Lowest Temperature,10/1959,Birr,Degrees C,0.3
Lowest Temperature,10/1959,Valentia Observatory,Degrees C,5.1
Lowest Temperature,10/1959,Casement,Degrees C,0
Lowest Temperature,10/1959,Claremorris,Degrees C,1.2
Lowest Temperature,10/1959,Clones,Degrees C,0.8
Lowest Temperature,10/1959,Cork airport,Degrees C,0
Lowest Temperature,10/1959,Dublin airport,Degrees C,1.1
Lowest Temperature,10/1959,Galway,Degrees C,0
Lowest Temperature,10/1959,Kilkenny,Degrees C,-1
Lowest Temperature,10/1959,Malin head,Degrees C,3.7
Lowest Temperature,10/1959,Mullingar,Degrees C,1
Lowest Temperature,10/1959,Roches Point,Degrees C,4.7
Lowest Temperature,10/1959,Rosslare,Degrees C,2.9
Lowest Temperature,10/1959,Shannon airport,Degrees C,1.2
Lowest Temperature,11/1959,Belmullet,Degrees C,-0.5
Lowest Temperature,11/1959,Birr,Degrees C,-2.6
Lowest Temperature,11/1959,Valentia Observatory,Degrees C,0.6
Lowest Temperature,11/1959,Casement,Degrees C,0
Lowest Temperature,11/1959,Claremorris,Degrees C,-2.3
Lowest Temperature,11/1959,Clones,Degrees C,-2.7
Lowest Temperature,11/1959,Cork airport,Degrees C,0
Lowest Temperature,11/1959,Dublin airport,Degrees C,-0.8
Lowest Temperature,11/1959,Galway,Degrees C,0
Lowest Temperature,11/1959,Kilkenny,Degrees C,-4.8
Lowest Temperature,11/1959,Malin head,Degrees C,1.2
Lowest Temperature,11/1959,Mullingar,Degrees C,-3.3
Lowest Temperature,11/1959,Roches Point,Degrees C,2.2
Lowest Temperature,11/1959,Rosslare,Degrees C,0.1
Lowest Temperature,11/1959,Shannon airport,Degrees C,-0.8
Lowest Temperature,12/1959,Belmullet,Degrees C,-2.1
Lowest Temperature,12/1959,Birr,Degrees C,-3.3
Lowest Temperature,12/1959,Valentia Observatory,Degrees C,0.1
Lowest Temperature,12/1959,Casement,Degrees C,0
Lowest Temperature,12/1959,Claremorris,Degrees C,-3.9
Lowest Temperature,12/1959,Clones,Degrees C,-2.6
Lowest Temperature,12/1959,Cork airport,Degrees C,0
Lowest Temperature,12/1959,Dublin airport,Degrees C,0.6
Lowest Temperature,12/1959,Galway,Degrees C,0
Lowest Temperature,12/1959,Kilkenny,Degrees C,-4.3
Lowest Temperature,12/1959,Malin head,Degrees C,2
Lowest Temperature,12/1959,Mullingar,Degrees C,-1.1
Lowest Temperature,12/1959,Roches Point,Degrees C,1.4
Lowest Temperature,12/1959,Rosslare,Degrees C,0.9
Lowest Temperature,12/1959,Shannon airport,Degrees C,-3.7
Lowest Temperature,01/1960,Belmullet,Degrees C,-3.8
Lowest Temperature,01/1960,Birr,Degrees C,-5.1
Lowest Temperature,01/1960,Valentia Observatory,Degrees C,-2.3
Lowest Temperature,01/1960,Casement,Degrees C,0
Lowest Temperature,01/1960,Claremorris,Degrees C,-5.2
Lowest Temperature,01/1960,Clones,Degrees C,-3.3
Lowest Temperature,01/1960,Cork airport,Degrees C,0
Lowest Temperature,01/1960,Dublin airport,Degrees C,-1.4
Lowest Temperature,01/1960,Galway,Degrees C,0
Lowest Temperature,01/1960,Kilkenny,Degrees C,-4.8
Lowest Temperature,01/1960,Malin head,Degrees C,-2.8
Lowest Temperature,01/1960,Mullingar,Degrees C,-2.4
Lowest Temperature,01/1960,Roches Point,Degrees C,-0.4
Lowest Temperature,01/1960,Rosslare,Degrees C,-0.1
Lowest Temperature,01/1960,Shannon airport,Degrees C,-4.8
Lowest Temperature,02/1960,Belmullet,Degrees C,-2.3
Lowest Temperature,02/1960,Birr,Degrees C,-6.6
Lowest Temperature,02/1960,Valentia Observatory,Degrees C,-3.7
Lowest Temperature,02/1960,Casement,Degrees C,0
Lowest Temperature,02/1960,Claremorris,Degrees C,-4.4
Lowest Temperature,02/1960,Clones,Degrees C,-5.1
Lowest Temperature,02/1960,Cork airport,Degrees C,0
Lowest Temperature,02/1960,Dublin airport,Degrees C,-4.9
Lowest Temperature,02/1960,Galway,Degrees C,0
Lowest Temperature,02/1960,Kilkenny,Degrees C,-9.4
Lowest Temperature,02/1960,Malin head,Degrees C,-2.9
Lowest Temperature,02/1960,Mullingar,Degrees C,-5.1
Lowest Temperature,02/1960,Roches Point,Degrees C,-1.7
Lowest Temperature,02/1960,Rosslare,Degrees C,-3.3
Lowest Temperature,02/1960,Shannon airport,Degrees C,-5.9
Lowest Temperature,03/1960,Belmullet,Degrees C,-0.9
Lowest Temperature,03/1960,Birr,Degrees C,-2.6
Lowest Temperature,03/1960,Valentia Observatory,Degrees C,1.7
Lowest Temperature,03/1960,Casement,Degrees C,0
Lowest Temperature,03/1960,Claremorris,Degrees C,-2.4
Lowest Temperature,03/1960,Clones,Degrees C,-0.8
Lowest Temperature,03/1960,Cork airport,Degrees C,0
Lowest Temperature,03/1960,Dublin airport,Degrees C,0.6
Lowest Temperature,03/1960,Galway,Degrees C,0
Lowest Temperature,03/1960,Kilkenny,Degrees C,0.2
Lowest Temperature,03/1960,Malin head,Degrees C,1.2
Lowest Temperature,03/1960,Mullingar,Degrees C,0
Lowest Temperature,03/1960,Roches Point,Degrees C,2.4
Lowest Temperature,03/1960,Rosslare,Degrees C,2.2
Lowest Temperature,03/1960,Shannon airport,Degrees C,-1.1
Lowest Temperature,04/1960,Belmullet,Degrees C,1.6
Lowest Temperature,04/1960,Birr,Degrees C,-3.1
